"gamma","epsilon","c","test_r2"
"0.4652926","0.89636433","48.5214","0.31295849891199423"
"22.256424","0.010069935","3.097569","0.3104926853981783"
"10.387318","0.451343","3.6822932","0.30955900580295903"
"25.43342","0.43305922","3.1197538","0.3072753991458723"
"0.31835115","0.0689097","68.98713","0.30578027091002125"
"3.3537498","0.065545","7.718041","0.3005950836938919"
"14.378327","0.033876054","3.0690758","0.29594110947240393"
"0.42146915","0.058941107","50.49473","0.2927144845314382"
"0.82863635","0.024642775","26.283743","0.2922238797167772"
"4.6837893","0.022669654","5.717192","0.2909358713780896"
"1.6598679","0.10994393","13.278282","0.2842689208728033"
"1.8376062","0.024447516","11.56879","0.2701038670681154"
"1.754327","0.13936655","11.953404","0.26693118774446245"
"27.195839","0.4818768","2.7456055","0.26549482586075046"
"2.4483862","0.06293857","8.86011","0.2632895109680611"
"33.43868","0.016744964","2.8480253","0.24854209257951854"
"1.4124554","0.031076496","14.032216","0.24674744255131809"
"0.27164313","0.04752205","66.988525","0.24563191635534176"
"0.4909095","0.011836727","37.33248","0.24415268833749293"
"0.6048882","0.037934978","30.368296","0.24385662996387247"
"0.62686294","0.025088018","29.30639","0.24350321904997485"
"2.3026545","0.031391937","8.9319315","0.24284933296243805"
"76.32566","0.12737527","5.5115886","0.24134482987357564"
"1.8797839","0.107553765","10.375598","0.23932556562279161"
"1.3820623","0.5138093","13.554374","0.23551658367316652"
"12.129333","0.27850822","2.8294532","0.23541685951385782"
"95.0813","0.108970486","7.6381536","0.23382572835145898"
"3.6848748","0.024203144","5.7301354","0.230246262122632"
"0.738837","0.10050316","23.028791","0.2296595742183669"
"1.0672519","0.02710365","15.234403","0.22182102960208738"
"0.5689265","0.91275865","28.365978","0.22115212411944052"
"2.6213267","0.016107097","6.9950213","0.2202411889985958"
"69.08368","0.05709736","4.5644097","0.22007418183910787"
"0.19244605","0.81268036","78.397064","0.21645621790447755"
"5.4006524","0.010680642","3.9354196","0.2162800496584214"
"1.1913481","0.15195909","13.224056","0.2158856757699057"
"1.0812919","0.018948194","14.328643","0.21508146823289964"
"0.48274222","0.079889834","31.109383","0.21481208102764449"
"8.112568","0.03475538","2.8701553","0.21012231901647116"
"8.682657","0.022189563","2.760399","0.20966710835974411"
"67.59342","0.02550532","4.2223063","0.20955097774532416"
